marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	12218320	R3DOQ76PX6RZE8	B00C1S9P82	714702169	VideoSecu 4 Pack Audio Pickup Device High Sensitive Preamp Mini Mic Microphones Sound Voice Collecting and Free Warning Decals WF8	Camera	5	0	0	N	Y	You can't get a better deal!	works well, you can hear everything.  you might want to turn the gane down.  I have them in places around my home with my video system, and two of them work well as a baby monitor system.  I'll be installing more when I upgrade my system!	2015-06-29
US	5781409	RZ8KFO5WV758Z	B00BWFF7PA	324353369	Skullcandy Wood Grain Case for iPhone 5/5S, Brown (SKDY4004-BRN)	Luggage	3	0	0	N	Y	So-so at best.	Very flimsy but looks good.  Would not protect your phone if dropped.  If all you want is esthetics than this would work.	2014-01-17
US	2270661	R32T2BFIAC1OLC	B003YUEJVY	732704640	Wenger Sherpa 17.3 Inch Computer Slimcase	Luggage	5	1	1	N	Y	Great Laptop Case	This case fits my HP Envy laptop perfectly and it feels to be really well made.	2014-08-28
US	1527637	R1UZRNBZEKT8K	B00EWKBPP8	455521749	Casio Electronic Cash Register	Office Products	4	4	6	N	Y	Four Stars	Nice I liked to much	2014-07-01
US	8901777	RIT6H1UII0RAI	B00AA6M08O	604348453	ECO INK © Compatible / Remanufactured for HP 61 CH561WN (4 Black) Ink Cartridges For Deskjet 1000, 2000 - J210a, 2050 - J510d, 3050 - J610a, 1050, 2000 - J210b, 2050 - J510e, 3050 - J610b, 1050 - J410c, 2000 - J210c, 3000, 3050 - J610c, 1050 - J410b, 2000 - J210d, 3000 - J310a, 3050 - J610d, 1055, 2050, 3000 - J310c, 3050 - J610e, 1055 - J410e, 2050A - J510a, 3050, 3050 - J610f, 2000, 2050 - J510	Office Products	5	2	2	N	Y	Very Good	OK. The product has a very good presentation and print quality is perfect. It helps the installation manual. I recommend it 100%	2013-06-09
US	47060877	R3NRWJRGXW2ID9	B000UE69U6	386841730	"Cash Box, 5 Comptmts, Spring Clips,10-1/2""x7-3/8""x4-1/2"", GY"	Office Products	1	0	0	N	Y	Broke after light use- do not buy this.	"Thin and flimsy, it's not very sturdy, and the key is about as complicated as a handcuff key- and all boxes have the exact same mas produced metal stamped key.  Change goes everywhere inside.<br /><br />The handle broke on day 1, the box bent after mild use, and the lid sticks.<br /><br />Pros:<br />Cheap, light, nothing special, very available.<br /><br />Cons:<br />Lid sticks until you bend out the metal above the lock.<br />One key fits all boxes.<br />Change goes everywhere.<br />Not very secure.<br />Not very strong.<br />No \\""under drawer\\"" space to hold large bills.<br />Nowhere sturdy enough to attach any sort of security chain or cable."	2012-09-30
US	25306304	R2B8HXC2GVP23U	B008I637IU	58703274	SquareTrade Office Protection Plan	Office Products	1	1	1	N	Y	Protection Plan	I have yet to receive this item. I hope that it will be sent out to me soon. I will not buy another plan if this is the way that I get my product.	2013-12-07
US	20013555	R25AON7X4SRX5S	B002VL4Q9M	561831518	Zebra Z-Grip MAX Gel Retractable Pen, 0.7mm, Black, 4 Pack (42414)	Office Products	2	0	0	N	Y	Two Stars	This pen is not &#34;ID THEFT-Proof  !  I would not purchase again.	2015-04-11
US	14362076	R2X6DT16XHMRVJ	B00006IFIM	391841053	Erase Markers	Office Products	5	0	0	N	Y	What can you say	What can you say.  the markers write; the eraser erases, and the cleaner cleans.  Don't have an overpowering smell like some.	2014-02-15
US	14489914	R1FB9JQP65QJEP	B000DZ9XGO	636111507	Oxford Twin Pocket Folders, Letter Size, 25 per Box	Office Products	5	0	0	N	Y	Works great!	We use this for our prison choir. Right before school you may purchase this at any local store pretty cheap, about ten cents each. After school starts they run up to 60 cents each so ordering these are more affordable throughout the year. Sturdy enough to hold all choir materials and pockets hold up very well. There is no metal of any kind, so it works great for our needs.	2013-08-03
US	10349350	R3HSB50J9C6LD4	B00FMKZ3GY	216800819	Sharper SHP921 Image Wrlss Headphones - NEW - Retail - SHP921	Office Products	3	2	2	N	Y	A good idea at the time.....	Ordered this several months ago & really haven't used it yet. I bought this so my husband could watch TV in our bedroom & i could sleep without being wakened to loud volume. However I did not realize when i bought this, that you have to connect it on the cable box of the 'audio out' port. (my fault for not thinking ahead lol)  therefore everytime he would want to use this would mean I have to unplug/replug often to switch between TV volume or the headphones.  Had I being thinking more techie before i bought these, I would have found wireless headphones that would have a switch on the headphone receiver box to switch them on or back to the TV setting. These do not give you that option. And if you are like most of use, its hard to get to the back of your cable box since they are in entertainment centers or on shelves where you have just about unplug the cable box to get to the back of it	2015-02-13
US	43217911	R1SASBQ58Q9C90	B00000J0O2	748391118	HP 06A (C3906A) ) Black Original LaserJet Toner Cartridge DISCONTINUED BY MANUFACTURER	Office Products	5	0	0	N	Y	Lucked out and got a winner.	At first I was concerned that the cartridge would not work due to the manufacture date of 5/28/2008.  Despite the date, the product was made to HP standards and prints nice dark crisp printouts.  I would order from them again.	2014-12-20
US	11430791	R1YT4F7D5OEF2U	B007V6H9FA	309973471	"WolVol BLACK 2.8"" LCD Portable Game Console With AV-Out And TONS of Built-In Games, Game Disk Included - Best Gift for Kids"	Office Products	5	1	1	N	Y	Would do business again.	Item was received as advertised.  It shipped timely.  I would do business again.  It was an overall good experience. MD	2012-12-28
US	10717133	R2TNRGRSDNS0PP	B00HW1Y9P2	819278532	Columbian Envelopes Security Tint, #10, Grip Seal, 500 Count	Office Products	5	0	0	N	Y	meets all expectations	happy with purchase.  Have not had any problems with the enveloped not sealing or sticking together or anything like that.	2015-05-18
US	16724309	R1831KCBSWY9D1	B002N4TQSS	873956227	10-Pack Set Non-OEM Ink w/ CHIP for PGI-5BK CLI-8 Canon Pixma MP500 MP530 MP600 MP800 iP4200 iP4300 iP4500 iP5200 iP5200	Office Products	4	0	0	N	Y	great price-some work some won't	So far I have only opened 2 cartridges, the larger black ones and one of them didn't work. I really appreciate the reasonable price.	2014-09-26
US	14800024	RPZ9ZW40JJHOR	B008LTRRT4	364736958	Turner  Florida State Seminoles Zipper Binder (8780056)	Office Products	5	0	0	N	N	Very happy	Perfect size for school, best binder ever. So happy I got it.	2014-07-17
US	30107853	R446JILRNLQ9Q	B0065VOLY4	990929462	Marshal Genuine Leather Ladies Standard Wallet #4575CF	Office Products	2	0	0	N	Y	Two Stars	returned, broken zipper	2015-07-14
US	26920230	R177H2WGJ4BBR3	B00919RM1Q	351462924	Hoyle Casino Games 2013	Software	1	0	1	N	Y	Inconvenient Game	This casino game requires CD reader to play which isn't convenient when your laptop isn't equiped with a CD reader.	2014-03-21
US	39565730	RXDWBDOFMUY6Y	B0061JMIHW	548957562	GTMax Purple Hard Rubberized Snap On Case + Car Charger for Verizon HTC Vigor 6425 (Free Clear LCD Screen Protector)	Wireless	1	0	0	N	N	Wrong charger	It won't fit the Htc Rezound none of the chargers people are selling are fitting  not sure what the problem is with sending the right thing	2012-03-05
US	45900666	R2MLKIHYCN0ES4	B008BR4L2W	131003343	Deluxe 3 Part Hard Skin Case Cover Compatible with Ipod Touch 4Th Gen	Wireless	4	0	0	N	Y	Good low price case	It can be a little tricky getting apart, but once you know how, it's fine.  I plan to buy in another color, so for the price it's good!	2013-11-20
US	5039685	R2E6CK4SWHH6LI	B008PXMWIW	942824605	Samsung OEM 3.5mm Stereo Headset with Remote and Microphone for Samsung Galaxy S3 S III and Other Smartphones - White	Wireless	5	0	0	N	Y	got this for my phone	like to lisen to the radio on my phone but other ones around didnot like to hear what i hear	2013-03-12
US	31907151	R3CYEO3N9IGXR9	B00A7I17LG	462315010	Griffin KaZoo for iPod Touch 5th/ 6th gen., Lion - Fun animal friends for iPod touch (5th gen)	Wireless	5	0	0	N	Y	Great item. Keeps my sons IPod protected from damage ...	Great item. Keeps my sons IPod protected from damage when drop. Ordered one for my daughters last year so I knew what I was getting would be a great product.	2015-01-18
US	4222833	R37RE86AFWZL8M	B00HUYF1N0	704387089	Hot Lime Green Color Changer for Apple iPhone 5 5c 5s Logo Vinyl Sticker Decal	Wireless	2	0	2	N	Y	Two Stars	Some things were good but most were the best	2014-07-12
US	37095117	RCQ2RNTXLF4LE	B005YFE8AY	885238932	Ceros 2 in 1 Hard Rubber Hybrid Case	Wireless	4	0	0	N	Y	Good	I like it. Good price and fit great. Only thing I don't like that it take too long to receive the order.	2014-01-07
US	34873220	R1A7F393L3ZU9Z	B00R4YNYEE	936740073	DualTek Extreme Shock Case for Motorola Droid Turbo	Wireless	5	1	1	N	Y	best so far....	Tried several other cases and this one is the best.  Fits very well with the ballistic nylon and buttons function well. It does add some thickness, but I don't mind.  I had been waiting for Trident to make a case but I think this is as close as I can get.  Do wish it had plug covers but no biggie.  All in all very happy.	2015-02-25
US	18568687	R24Z18F91T09O2	B007B5ZR4G	970261696	LXT600 series	Wireless	4	0	0	N	Y	Hello? Check Mic 1 2 3...	121 Privacy Codes wow!<br />2662 options to stay away from anyone wanting to mess with your channel. Nice!<br /><br />NOAA Weather Alert Radio with weather scan definitely a nice option if your hiking in area without radio or heading towards mountain with a dead battery in the car without cell phone signal.<br /><br />Backlit display LCD nice for night time use.<br /><br />Comes with rechargeable battery,battery pack which is nice.<br /><br />signal range is decent for what I am currently using for no con's yet.	2014-09-03
US	30032294	R3U7UGYW0X7YUY	B009G8DPJU	408864698	iPhone 5 Case	Wireless	1	6	7	N	Y	AWFUL.	DO NOT even consider purchasing this phone case. I was EXTREMELY disappointed. The case actually comes in two pieces-- although it doesn't show it in the pictures. First of all, the case doesn't even fit the iphone 5. Secondly, the part that is supposed to &#34;snap on&#34; doesn't even snap on. It covers the side volume buttons! DO NOT BUY. I have never been so disappointed with a product.	2013-04-08
US	28802752	R3FCJOUWC8VJCG	B0015EWMX8	885667467	Garmin nüvi 255W 4.3-Inch Portable GPS Navigator (Discontinued by Manufacturer)	Wireless	5	1	1	N	Y	Garmin nuvi 255W	I have had it for several years, use it all the time, and I find it almost always reliable.  It turned out to be an excellent purchase for my purpose.<br /><br />Jerry H.	2013-12-15
US	7177843	R3IP6X2MGE3WF6	B00GK9OT84	275694056	For Z796c / Z796 c / Z 796 C Majesty Baby Pink Silicone Soft Case Straight Talk Cover Durable Design Premium Protector Accessory Shine Wireless Brand	Wireless	1	0	0	N	Y	One Star	Same as white case very disapointed	2015-01-31
US	42885195	R42551ELMUE5S	B00KJLMBSO	258537409	Plantronics BackBeat Fit Wireless Headphones - Retail Packaging - Green	Wireless	5	0	0	N	Y	Satisfied 100%	I am very happy with these. Wireless is the best part, and the sound quality is better than I expected.	2015-08-29
US	1674349	R18ZWNYM5EBP4X	B00MNAWM4W	350256937	RAVPower 3350mAh External Battery Pack	Wireless	2	0	0	N	Y	Takes awhile to charge and only holds one good charge but not bad for th email money	Charger is ok. Takes awhile to charge and only holds one good charge but not bad for th email money	2015-08-04
US	10967315	R3VXPE4PJJUO59	B0047T79VS	893502048	Belkin F8Z492TTP Bluetooth Music Receiver	Wireless	1	0	0	N	Y	This sound very tinny	I am very disappointed in this product. The range is not 30 feet as promised and to top it all off it sounds terrible whenever there's more than one voice in a song or speech or movie. This product is lame.	2014-03-09
US	20679187	R2N3CG7Y14RZZZ	B008QD9YDM	885003062	Blackberry Curve 9370 Unlocked Phone Verizon CDMA + GSM with OS 7, 5MP Camera, GPS and Wi-Fi - Black	Wireless	1	0	0	N	Y	Think it was refurbished	Bought phone because I was told it was new. About 2 weeks after getting it the moving pad quite recognizing my touch. Was bummed out because I love blackberry but you can't get the curve from Verizon anymore.	2014-04-01
US	40769278	R2IJLDCM47YK0Y	B00NQMHF70	692749118	TFY Sports Wristband / Forearm Band for iPhone 6 / 6S - Black Case & Black Strap	Wireless	5	2	2	N	Y	... my android galaxy s5 - I converted it works like a champ	This is for my android galaxy s5 - I converted it works like a champ!	2014-11-07
US	1779019	RBOJ7II0CKFMX	B00B022Q22	243147454	LG 440G Prepaid Cellular Phone With Double Minutes (Tracfone)	Wireless	5	30	31	N	N	completely satisfied and you get double minutes for the life of ...	I have had this tracfone  for four months. I bought it at Family Dollar for five dollars. I can get reception where friends who have I phones and android phones can not . completely satisfied and you get double minutes for the life of the phone	2014-12-08
US	37376588	R113KMF1N9OPM4	B00K4NVRRI	313232802	The Friendly Swede Replaceable Micro-knit Tip Hybrid Stylus with Lanyards, Cloth and Replacement Tips (3 Pack)	Wireless	5	1	1	N	N	My favorite stylus pens!	I ordered the rubber tip stylus pens and didn't feel like they were smooth enough. Stuff that I wrote and drew on my iPAD were cutting out so I gave them a 4-star review. The Friendly Swede contacted me and offered these fiber tip pens to try and OH MY GOODNESS they are amazing!  I can take notes and draw more efficiently now even though my iPAD has a screen protector.  Of course, the experience doesn't compare to pen on paper but digitally, this gets the job done.  Thank you SO SO SO much, The Friendly Swede!  Your products and your customer service far exceeds my expectations and I will be buying from you again.	2015-06-25
US	21435231	R3LTN6HEAIQXQM	B006K677BS	442931189	Pink Disney 3d Stitch Movable Ear Flip Hard Case Cover for Iphone 4/4s Xmas Gift	Wireless	1	4	5	N	Y	Really.	It came broken. And it didn't come with a return address so I couldn't send it back. Come on now.	2012-04-20
US	29652363	R1WGQF2K2BDQYW	B004KU51BE	569540199	CaseCrown Metallic Slash Glider for Apple iPhone 4 and 4S (AT&T, Sprint, & Verizon compatible) Screen Protector included - White	Wireless	1	0	2	N	Y	Tight and Snug	As advetised. Shipping too high.Came in plastic, no secure padding. Case to tight and snug. May break easily because its thinner made. Haven't been able to remove case after many tries. Going back to otterbox.	2012-09-14
US	48743318	R1QWH01TOWBSN5	B00EL93W1U	244897962	iPhone 6S Screen Protector, Tech Armor High Definition HD-Clear Apple iPhone 6S / iPhone 6 (4.7-inch) Screen Protector [3-Pack]	Wireless	5	0	0	N	Y	Tech Armor always satisfies me. I bought it when ...	Tech Armor always satisfies me. I bought it when I purchased my iPhone 6. At the time, the company made a mistake and sent me a set of &#34;misprinted&#34; protector. Soon after, they voluntarily sent another set with correct size. Thanks Tech Armor!	2015-07-09
US	23691365	R2PFQR009RNE9S	B00PINR91M	695714307	iClever&#174; 50 Watt 6-Port USB Desktop Rapid Charger (2.4A Max Per Port), Intelligent USB Travel Charger with SmartID Technology for Smartphone, Tablet, Power Bank and Other USB Powered Devices, Black	Wireless	5	0	0	N	Y	Five Stars	Good product. Fast shipping	2015-02-11
US	31775183	R1IX9GUC4NGC1F	B0060MDUGI	953891184	MyBat Diamante Phone Protector Cover for Samsung I405 (Stratosphere)	Wireless	1	0	0	N	N	Cell Cover	Crampy! small black particals all over my hands when i touched it. The glue strings were still attached. I had to throw it out!!	2012-07-04
US	49568909	RRTT0Z8P15RWU	B008AGQMQC	350788321	Mpow Bluetooth Receiver, Protable Bluetooth 4.1 Car Adapter & Bluetooth Car Aux Adapter for Music Streaming Sound System, Hands-free Audio Adapter & Wireless Car Kits for Home/Car Audio Stereo System	Wireless	5	0	0	N	Y	This is nice little bluetooth toy	I love this little Bluetooth receiver. I plug into my home theater or car radio and can stream music from my phone perfectly. The audio quality on my opinion is just perfect. I connected this receiver to my wife Sony AUX radio and stream music from Pandora very nicely so no complaint.	2014-05-15
US	48875330	R25A6EQ5V5ROUH	B00PIFWZAA	634301013	CASEFORMERS Duo Armor BLACK for LG F60 Combo Case with Stand and Holster	Wireless	5	0	0	N	Y	Very Good	Well made, worked like a charm.	2015-08-14
US	13079613	R30G0FVAMS5G2J	B00GQ72ZCW	606159830	Lively Orange Hard Case Cover Premium Protector for LG Optimus L9 P769 MS769 (by Metro PCS / T-Mobile) with Free Gift Reliable Accessory Pen	Wireless	4	0	0	N	N	Nice for the price.	Looks nice although fit could look cleaner. Won't really protect from much of an impact without breaking apart, but, will protect it in a pocket or purse.	2014-08-10
US	39425260	R2H45JYVQ0QV0D	B00ITI22HY	347746327	Samsung Battery with Charging Holder	Wireless	5	0	0	N	Y	works perfect. The AC adapter came with it seem to ...	works perfect. The AC adapter came with it seem to do slow charge and does not get the battery hot. I wonder if the higher amp adapter will increase charge time...	2014-11-20
US	336167	RPFOI6A98FD4O	B00LI6ITI0	30540976	"SHARKK® Android Smartphone 4G Unlocked GSM Phone 5"" Display Dual SIM Quad Core Cell powered by POSH"	Wireless	4	0	0	N	Y	Probably the best phone I've own so far	Probably the best phone I've own so far. Not better then the Samsung galaxies but for what your paying is a very good deal.	2015-03-31
US	19592561	R2GT1AD3OLBSSW	B001QD8Q5Q	562184466	Ram Mount Universal Finger-Grip Phone or Radio Holder	Wireless	5	0	0	N	Y	Used with Samsung Galaxy III	I used this to mount my cell phone to my motorcycle handlebars. I was able to use my phone for calls, music, and navigation while traveling long distances. The mount held the phone securely but it released it very easily when i stopped to eat, fuel up, or was just done riding for the day. This was a good purchase for my application.	2014-04-18
US	21980352	RU14AAI1YT4E5	B00OXTKVGW	316396744	Mpow iSnap Pro Blue 2-In-1 Self-Portrait Monopod Selfie Stick with Built-In Bluetooth Remote Shutter (Blue)	Wireless	5	0	0	N	N	It's a great gift idea and so easy to use	I luv taking selfie, and it was difficult doing so since my phone came without a self timer, so when I saw this tow in one extendible self-portrait monopod with built in remote, I just had to have it .<br />It can stretch up to 40 inches and allows you to set your phone at a 180 degree angle it is also comparable with most android, I know cause all my friends wants to use it :-) the rubber pad that comes along with it also helps your phone to fit firmly too. It's a great gift idea and so easy to use .	2015-04-13
US	14785916	R2U1JPD2JZMZDU	B004EI5DJC	614149754	Black Rubber Touch Phone Protector Hard Cover Case for htc Mytouch 4G hd Emerald	Wireless	5	0	0	N	Y	HIGH QUALITY	What more can I say this is a GOOD high quality case that lasted my hard on everything husband years and years and for the price cant be beat	2013-09-09
US	35712733	R2CBLE93A2B7ND	B008LE7XD4	969056166	Halo Screen Protector Film High Definition (HD) Clear (Invisible) for iPhone 5 / 5S / 5C [3 Pack] - Lifetime Replacement Warranty	Wireless	5	0	0	N	Y	Great buy, great price!	Works perfectly, couldn't be happier.	2014-09-14
US	48810380	RWMYJUROCXA7V	B00CHSELKS	32419810	Note 2 Tempered Glass Screen Protector, EMPIRE Premium Tempered GLASS Screen Protector for Samsung Galaxy Note 2 II	Wireless	5	2	2	N	Y	Glass is the Way to Go	I was a little nervous ording a product that is 50% cheaper than the name brand tempered glass screen protector, but I was impressed.  It came with clear instructions and a cleaning cloth, and installation was just as easy as installing a standard plastic screen protector.<br /><br />Glass vs. plastic is no contest.  The glass looks much nicer, has less glare, and feels nicer.  Plus, it gives extra protection.	2013-07-18
US	11029298	R3Q4NLESN74797	B009IGOG66	763366129	For Samsung Brightside U380 (Verizon) Rubberized Design Cover - Owl Design	Wireless	4	0	0	N	Y	Daughter loves it	Bought this for my daughter. She loves it. I do see as in other reviews that the colors do not match up when put together. the top matches but the bottom colors do not.  You can look at the picture and see what I'm talking about. My daughter loves it so I can't complain.	2013-08-13
US	27329981	R2J9SSBRBOU2W5	B00NNC9NLY	802267062	OtterBox iPhone 6 Case - Defender Series, Retail Packaging	Wireless	5	0	0	N	Y	fits like a glove	Well made, fits like a glove. Don't much care for the clear protector, lots of made keystrokes.<br />Ya see!	2015-07-18
US	23550102	RK03G7MEBMQ9R	B00E0GV9IC	759823594	The Friendly Swede Bundle Micro-Knit Hybrid Fiber Tip Universal Capacitive Stylus Pens	Wireless	4	1	1	N	Y	Like them so far!	My rubber tip stylus finally wore out and had to be replaced. I hope these last longer. They have a faster movement than the rubber and that took a little gitting used to, but the accuracy is spot on. I have absolutely no other complaints about them. Superb product if they will last.	2014-07-21
US	13324505	R28CA1RLBPA5R2	B00B5DE88G	971127534	SAMRICK - Sony LT30i LT30P Xperia T & Xperia TL - Specially Designed Leather Flip Case & Screen Protector/Foil/Film/Guard & Microfibre Cloth & Black High Capacitive Stylus Pen - Black	Wireless	3	0	0	N	Y	Three Stars	can break easy	2015-04-26
US	14052985	R5EZTAMMBAHGI	B00AXZKY3U	166762144	For LG Optimus L9 P769 / P760 (T-Mobile) Rubberized Design Snap-on Protector Hard Cover Case - Spade Skull	Wireless	5	0	0	N	Y	Five Stars	nice	2015-05-10
US	13620980	R3E59D7XZNXJ7N	B007Q6T67O	492003419	Verizon Samsung Brightside / U380 Protector Case Phone Cover - Dog Paws	Wireless	5	0	0	N	Y	Love my PAWS cover!	Excellent quality - get so many comments and compliments on my new cover! Wonderful service to accompany an excellent product!	2012-10-23
US	17048216	R2E5DLGQHBKP0S	B00EKVKQ9A	698932899	MFI Apple Certified IONIC 2000 mAh Battery Case for Apple iPhone 5/iPhone 5S 2013 Smartphone (AT&T, T-Mobile, Sprint, Verizon)	Wireless	5	0	0	N	Y	Perfect, slim, light-weight option for extra battery life on iPhone5	I chose this because of its slim lines, light weight extra battery life that it gives the iPhone5.  Thank you.	2014-01-14
US	13607155	RNCB9JEFSZOXR	B001UB279A	951219139	Standard Car Power Charger [CAD300UBEB/ST1]	Wireless	5	0	0	N	Y	Great to have one	I'll keep this in the car in case I need it. Looks great with the name on it... I have yet to use it.	2011-09-30
US	43441837	RBTIVBGGOBWZY	B00BS3CYXY	300088020	Original Samsung Galaxy S3 SIII Pebble Blue Front Glass Replacement - D&R electronix	Wireless	4	0	0	N	Y	Good product, DONT ATTEMPT UNLESS YOU KNOW WHAT YOU'RE DOING!!!	This is the OEM screen, legitimate Corning Glass or a phenomenal knock off.<br />You get the glass but no adhesive or anything else with this.<br />If you didn't crack your display or digitizer, you likely will while replacing the glass.<br />You have to be INCREDIBLY careful while doing this replacement or have a good repair shop do it. I ended up cracking my display and digitizer because I wasn't able to melt the adhesive well enough.	2013-10-03
US	23463576	R1QW9ZGV9UYSLS	B008APH5D2	480371591	Eagle Cell   Armor Hybrid Case with Kickstand for Samsung Galaxy S3	Wireless	5	0	0	N	Y	great product	love this case. made very durable and exceeded my expectations. woul recommend this product to a friend. you must buy!!	2013-05-17
US	24315423	R8FHQKJJM7XEO	B00BYNAT7G	290491770	Runtastic Bike Case for Android Smartphones (Black)	Wireless	2	0	0	N	Y	Doesn't fit anything	Does not fit a Galaxy S4<br />Does not fit a LG Optimus G<br />Does not fit that new Razor phone<br /><br />went around my work looking for any phone this would fit --- and a Galaxy S3 looks to be the only phone that worked.......funny thing is if it didn't have the radius corners all these phones would have worked....	2013-06-14
US	12109114	R33KIAY5CEXAZQ	B005RUP5TO	678415938	Samsung HM1700 Bluetooth Headset - Retail Packaging	Wireless	4	0	0	N	Y	Does the Job	This was the second headset I ordered from Amazon, I must admit its a keeper its a little on the loose side but it fits. I love the color magenta.	2013-04-17
US	21236942	RRCJCWL3S5QRF	B00M0DGBRQ	741367382	iPhone 6 Case, Maxboost [Vibrance Series] Protective Slider Case for Apple iPhone 6 (4.7) SOFT-Interior Scratch Protection with Vibrant Trendy Color Cover Accessories (All Colors)	Wireless	4	0	0	N	Y	totally great except gets dirty fast.	This case is great and looks exactly like the picture. Its comfortable to hold and looks really nice. My only complaint is that it got that dirty look really fast and there is basically no way I can find to clean it.	2015-03-15
US	30460260	R3SUBCSW2I2INX	B00933N28W	476386380	Amzer Skin for iPhone 5 - 1 Pack	Wireless	5	0	0	N	Y	Bright color!	Lots of people like it becuz of its color, I also like its material, I prefer to have a soft one to protect my iphone 5.	2012-12-03
